indice_tiempo,nivel_general,alimentacion,indumentaria,gastos_generales,menaje,alojamiento,nivel_general_corregido_variacion_estacional,nivel_general_excluidos_alimentos_frescos_serv_aloj
1960-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1961-01-01,113.7,111.0,121.6,113.0,132.5,121.2,113.7,
1962-01-01,145.7,142.8,150.1,152.3,171.4,130.9,143.4,
1963-01-01,180.7,175.5,187.6,203.9,198.2,143.3,180.7,
1964-01-01,220.7,222.6,224.6,235.7,220.4,146.7,220.7,
1965-01-01,238.8,284.8,289.1,310.9,285.1,184.0,283.8,283.6
1966-01-01,374.3,356.8,387.4,430.3,364.3,393.2,374.1,367.8
1967-01-01,483.7,460.1,99.1,579.6,481.5,456.3,483.6,483.8
1968-01-01,562.1,532.9,571.0,700.5,533.7,536.6,562.1,559.1
1969-01-01,604.7,568.8,630.8,772.3,560.5,565.0,604.7,603.9
1970-01-01,686.9,658.9,690.1,869.5,600.2,597.5,686.9,683.0
1971-01-01,925.3,933.7,812.8,1102.0,834.4,858.6,925.3,869.5
1972-01-01,1466.2,1523.1,1265.4,1693.74,1320.6,1074.3,1466.2,1385.8
1973-01-01,2350.5,2363.2,1986.2,2697.0,2073.1,2858.4,2350.5,2161.3
1974-01-01,2919.6,2719.7,3071.3,3551.8,2764.8,3179.1,2919.6,2919.4
1975-01-01,8255.6,7823.8,8921.7,10039.5,8994.6,5727.5,8252.5,8740.4
